#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N1234X",unit_software_part_number="006-B1727-30",software_version="9.31",system_id="6000234567F12",unit="MFD1",airframe_hours="1234.5",engine_hours="1012.0",engine_cycles="12"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),NAV Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Amps,Fuel Flow (gal/hour),CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EVENT (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NAV1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,E1 FFlow,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,
2024-01-10,14:25:47,19:25:47,-05:00,+31.8833551,-81.5593558,18,3D (PFD1),329164.7,0.1,,0,0,-0.01,,22,53,9,49,39,4,0.0,0,,,-0.000,1.042,+5.852,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,16.8,279,,,,080001F8 A57 A57 *,080197FF N59 D99,9,8,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:25:48,19:25:48,-05:00,+31.8833548,-81.5593557,18,3D (PFD1),329165.6,0.0,,0,0,-0.01,,21,49,9,49,39,3,0.0,0,,,0.001,1.044,+6.398,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,16.9,281,,,,040001F8 A59 A59 *,480117FF N63 N3,7,5,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:25:49,19:25:49,-05:00,+31.8833539,-81.5593563,18,3D (PFD1),329166.6,0.0,,0,0,0.00,,20,45,9,49,39,-3,0.0,0,,,0.001,1.040,+6.931,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,16.9,283,,,,040001F8 A62 A62 *,480117FF N67 N7,7,6,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:25:50,19:25:50,-05:00,+31.8833533,-81.5593564,18,3D (PFD1),329167.6,0.0,,0,0,0.00,,20,42,9,49,39,-5,0.0,0,,,-0.002,1.039,+6.766,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,16.9,286,,,,040001F8 A65 A65 *,480117FF N71 N11,6,3,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:25:51,19:25:51,-05:00,+31.8833527,-81.5593563,18,3D (PFD1),329168.6,0.0,,0,0,0.00,,20,39,9,49,38,-3,0.0,0,,,0.001,1.039,+6.960,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,16.9,288,,,,040001F8 A68 A68 *,480117FF N75 N14,6,3,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:25:52,19:25:52,-05:00,+31.8833524,-81.5593554,18,3D (PFD1),329169.7,0.0,,0,0,-0.01,,20,37,9,49,38,1,0.0,0,,,0.002,1.041,+8.621,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.0,290,,,,040001F8 A71 A71 *,480117FF N79 N17,5,4,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:25:53,19:25:53,-05:00,+31.8833522,-81.5593550,18,3D (PFD1),329170.7,0.0,,0,0,-0.00,,20,35,9,49,38,-2,0.0,-0,,,-0.002,1.040,+9.953,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.0,292,,,,040001F8 A74 A74 *,480117FF N83 N21,7,3,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:25:54,19:25:54,-05:00,+31.8833515,-81.5593554,18,3D (PFD1),329171.7,0.0,,0,0,0.00,,20,33,9,49,38,-4,0.0,-0,,,-0.001,1.042,+12.099,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.0,294,,,,040001F8 A76 A76 *,480117FF N87 N24,6,4,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:25:55,19:25:55,-05:00,+31.8833502,-81.5593560,18,3D (PFD1),329172.7,0.0,,0,0,0.00,,20,32,9,49,38,-5,0.0,-0,,,0.005,1.042,+13.346,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.0,295,,,,040001F8 A79 A79 *,480117FF N91 N28,10,8,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:25:56,19:25:56,-05:00,+31.8833488,-81.5593563,18,3D (PFD1),329173.7,0.0,,0,0,-0.00,,20,31,9,49,38,-4,0.0,-0,,,0.002,1.041,+14.158,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.0,296,,,,040001F8 A82 A82 *,480117FF N95 N32,9,9,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:25:57,19:25:57,-05:00,+31.8833474,-81.5593562,18,3D (PFD1),329174.7,0.0,,0,0,0.00,,20,29,9,48,38,-8,0.0,-0,,,0.001,1.038,+13.951,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.0,297,,,,040001F8 A85 A85 *,480117FF N99 N35,7,6,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:25:58,19:25:58,-05:00,+31.8833465,-81.5593559,18,3D (PFD1),329175.7,0.0,,0,0,0.00,,20,28,9,48,38,-5,0.0,-0,,,0.000,1.039,+13.371,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.0,298,,,,040001F8 A88 A88 *,480117FF N100 N39,5,4,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:25:59,19:25:59,-05:00,+31.8833461,-81.5593559,18,3D (PFD1),329176.7,0.0,,0,0,0.00,,20,27,9,49,38,4,0.0,-0,,,-0.001,1.039,+13.046,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.0,300,,,,040001F8 A91 A91 *,480117FF N100 N43,5,7,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:26:00,19:26:00,-05:00,+31.8833462,-81.5593559,18,3D (PFD1),329177.7,0.0,,0,0,0.01,,20,26,9,48,38,-1,0.0,-0,,,-0.001,1.040,+13.679,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.0,301,,,,040001F8 A93 A93 *,480117FF N100 N47,6,4,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:26:01,19:26:01,-05:00,+31.8833461,-81.5593561,18,3D (PFD1),329178.7,0.0,,0,0,0.00,,20,26,9,48,38,-2,0.0,-0,,,-0.002,1.038,+15.216,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.1,303,,,,040001F8 A95 A95 *,480117FF N100 N50,5,2,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:26:02,19:26:02,-05:00,+31.8833459,-81.5593565,18,3D (PFD1),329179.7,0.0,,0,0,0.00,,20,25,9,48,38,-6,0.0,0,,,-0.004,1.033,+15.617,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.1,304,,,,040001F8 A98 A98 *,480117FF N100 N54,15,15,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:26:03,19:26:03,-05:00,+31.8833460,-81.5593571,18,3D (PFD1),329180.7,0.0,,0,0,0.00,241.6,20,24,9,48,38,1,0.0,0,0.05,-0.03,-0.013,1.040,+15.528,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.1,305,,,,040007FF D7 D7 *,480117FF N100 N57,10,10,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:26:04,19:26:04,-05:00,+31.8833458,-81.5593580,18,3D (PFD1),329181.7,0.0,,0,0,0.01,241.5,20,23,9,48,38,3,0.0,0,-0.02,-0.06,0.003,1.043,+15.355,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.1,306,,,,040007FF D19 D19 *,480117FF N100 N61,10,10,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:26:05,19:26:05,-05:00,+31.8833456,-81.5593581,18,3D (PFD1),329182.7,0.0,,0,0,0.01,241.5,20,23,9,48,38,-5,0.0,0,-0.02,-0.03,0.003,1.040,+15.540,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.1,307,,,,040007FF D29 D29 *,480117FF N100 N63,9,8,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:26:06,19:26:06,-05:00,+31.8833456,-81.5593580,18,3D (PFD1),329183.7,0.0,,0,0,-0.00,241.5,20,22,9,48,38,-3,0.0,0,-0.04,-0.01,0.003,1.037,+15.444,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.1,308,,,,040007FF D41 D41 *,480117FF N100 N67,5,3,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:26:07,19:26:07,-05:00,+31.8833456,-81.5593582,18,3D (PFD1),329184.7,0.0,,0,0,0.00,241.4,20,21,9,48,38,-5,0.0,0,-0.04,0.00,0.003,1.040,+14.894,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.1,309,,,,040007FF D53 D53 *,480117FF N100 N71,7,4,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:26:08,19:26:08,-05:00,+31.8833456,-81.5593582,18,3D (PFD1),329185.7,0.0,,0,0,-0.00,241.4,20,21,9,48,38,3,0.0,0,-0.04,-0.01,0.005,1.039,+15.059,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.1,310,,,,040007FF D62 D62 *,480117FF N100 N75,7,4,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:26:09,19:26:09,-05:00,+31.8833456,-81.5593583,18,3D (PFD1),329186.7,0.0,,0,0,-0.00,241.5,20,21,9,48,38,-1,0.0,0,-0.00,-0.03,0.004,1.040,+16.057,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.1,311,,,,040007FF D72 D72 *,480117FF N100 N78,7,5,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,198,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
2024-01-10,14:26:10,19:26:10,-05:00,+31.8833456,-81.5593583,18,3D (PFD1),329187.7,0.0,,0,0,0.01,241.6,20,20,9,48,38,3,0.0,0,0.06,-0.01,0.000,1.037,+17.018,,195,,,,29.91,,111.350,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,7.0,17.1,311,,,,040007FF D84 D84 *,480117FF N100 N82,6,4,,,,169,18,18,6.6,0,0,29.5,12.4,0,0.0,197,219,226,224,160,190,190,175,0,0,VOLTS / AMPS / FUEL PRESS,
